,predictions
0,"(422, 314)"
1,"(459, 345)"
2,"(458, 347)"
3,"(455, 348)"
4,"(452, 349)"
5,"(449, 349)"
6,"(446, 349)"
7,"(444, 350)"
8,"(441, 350)"
9,"(439, 351)"
10,"(437, 352)"
11,"(434, 353)"
12,"(432, 353)"
13,"(429, 354)"
14,"(427, 354)"
15,"(424, 355)"
16,"(422, 356)"
17,"(420, 356)"
18,"(418, 357)"
19,"(416, 357)"
20,"(415, 358)"
21,"(413, 358)"
22,"(410, 358)"
23,"(408, 359)"
24,"(406, 360)"
25,"(405, 360)"
26,"(404, 360)"
27,"(402, 361)"
28,"(400, 361)"
29,"(399, 362)"
30,"(397, 363)"
31,"(395, 363)"
32,"(394, 363)"
33,"(392, 364)"
34,"(391, 364)"
35,"(390, 365)"
36,"(388, 365)"
37,"(390, 370)"
38,"(393, 375)"
39,"(396, 381)"
40,"(399, 384)"
41,"(400, 387)"
42,"(401, 391)"
43,"(402, 394)"
44,"(403, 398)"
45,"(403, 401)"
46,"(403, 404)"
47,"(404, 406)"
48,"(404, 408)"
49,"(404, 411)"
50,"(405, 414)"
51,"(406, 417)"
52,"(406, 419)"
53,"(407, 421)"
54,"(407, 424)"
55,"(407, 426)"
56,"(408, 428)"
57,"(408, 430)"
58,"(408, 432)"
59,"(408, 433)"
60,"(409, 435)"
61,"(409, 437)"
62,"(409, 439)"
63,"(410, 441)"
64,"(411, 443)"
65,"(411, 445)"
66,"(412, 446)"
67,"(412, 448)"
68,"(412, 449)"
69,"(412, 451)"
70,"(413, 453)"
71,"(413, 455)"
72,"(414, 456)"
73,"(414, 458)"
74,"(414, 459)"
75,"(414, 460)"
76,"(414, 462)"
77,"(415, 463)"
78,"(415, 464)"
79,"(415, 466)"
80,"(415, 468)"
81,"(415, 469)"
82,"(416, 471)"
83,"(416, 471)"
84,"(416, 471)"
85,"(416, 472)"
86,"(416, 474)"
87,"(421, 475)"
88,"(423, 474)"
89,"(425, 476)"
90,"(427, 478)"
91,"(428, 480)"
92,"(430, 482)"
93,"(431, 483)"
94,"(433, 485)"
95,"(434, 487)"
96,"(435, 489)"
97,"(436, 491)"
98,"(437, 492)"
99,"(439, 494)"
100,"(440, 496)"
101,"(441, 498)"
102,"(442, 499)"
103,"(442, 501)"
104,"(443, 502)"
105,"(445, 503)"
106,"(447, 505)"
107,"(447, 506)"
108,"(447, 507)"
109,"(448, 509)"
110,"(450, 508)"
111,"(453, 508)"
112,"(457, 508)"
113,"(460, 511)"
114,"(462, 514)"
115,"(464, 517)"
116,"(467, 519)"
117,"(469, 521)"
118,"(472, 523)"
119,"(474, 525)"
120,"(477, 527)"
121,"(479, 528)"
122,"(481, 529)"
123,"(483, 530)"
124,"(484, 531)"
125,"(486, 533)"
126,"(488, 534)"
127,"(490, 536)"
128,"(492, 537)"
129,"(494, 538)"
130,"(495, 539)"
131,"(498, 539)"
132,"(500, 540)"
133,"(501, 540)"
134,"(503, 539)"
135,"(505, 538)"
136,"(507, 538)"
137,"(510, 537)"
138,"(513, 538)"
139,"(516, 539)"
140,"(518, 539)"
141,"(520, 539)"
142,"(522, 540)"
143,"(525, 540)"
144,"(527, 539)"
145,"(529, 539)"
146,"(531, 539)"
147,"(532, 540)"
148,"(533, 541)"
149,"(535, 541)"
150,"(537, 541)"
151,"(539, 541)"
152,"(541, 541)"
153,"(543, 541)"
154,"(544, 541)"
155,"(546, 541)"
156,"(547, 541)"
157,"(548, 542)"
158,"(550, 542)"
159,"(551, 542)"
160,"(552, 543)"
161,"(553, 542)"
162,"(554, 537)"
163,"(552, 530)"
164,"(551, 524)"
165,"(549, 519)"
166,"(547, 516)"
167,"(547, 513)"
168,"(547, 508)"
169,"(547, 504)"
170,"(548, 502)"
171,"(549, 499)"
172,"(549, 495)"
173,"(549, 492)"
174,"(550, 489)"
175,"(551, 487)"
176,"(551, 484)"
177,"(552, 481)"
178,"(553, 479)"
179,"(553, 476)"
180,"(554, 473)"
181,"(555, 471)"
182,"(555, 468)"
183,"(556, 466)"
184,"(556, 464)"
185,"(556, 462)"
186,"(556, 460)"
187,"(556, 458)"
188,"(556, 455)"
189,"(557, 453)"
190,"(557, 450)"
191,"(557, 448)"
192,"(557, 446)"
193,"(549, 446)"
194,"(539, 446)"
195,"(533, 445)"
